-----------------------------------------------------------------------
NEUTRAL-NEUTRAL and NEUTRAL-ION interactions
-----------------------------------------------------------------------
 Fit coefficients for the reduced collision integrals and ratios:
 -Q11IJ = pi *sigmaIJ**2 *omegastar11IJ, AstarIJ, BstarIJ and CstarIJ.
 Formula of the type:
 -Q11IJ = 1.D-20 *EXP( C1*lnT**3 +C2*lnT**2 +C3*lnT +C4 ) in m^2
 -AstarIJ  = EXP(C1*lnT**3 +C2*lnT**2 +C3*lnT +C4)
 -BstarIJ  = EXP(C1*lnT**3 +C2*lnT**2 +C3*lnT +C4)
 -CstarIJ  = EXP(C1*lnT**3 +C2*lnT**2 +C3*lnT +C4)

ATTENTION, the present data are: Q11IJ, Q22IJ, BstarIJ, 0.D0

  0.0000000e+000  0.0000000e+000  0.0000000e+000  0.0000000e+000
-----------------------------------------------------------------------
.Arp-O2. 
 -1.2145304e-003  1.7662652e-002 -2.7000224e-001  4.7405532e+000
 -1.1167712e-003  1.6206755e-002 -2.5298307e-001  4.8103168e+000
  1.7357849e-004 -3.1009716e-003  2.8798559e-002  9.0885006e-003
  0.0000000e+000  0.0000000e+000  0.0000000e+000  0.0000000e+000
-----------------------------------------------------------------------
.Cp-Ar.
 -1.4223345e-003  2.1565242e-002 -3.0382158e-001  4.4877315e+000
 -1.3285550e-003  2.0345234e-002 -2.8897711e-001  4.5675491e+000
  1.3712201e-004 -1.8991941e-003  1.7536688e-002  4.6713918e-002
  0.0000000e+000  0.0000000e+000  0.0000000e+000  0.0000000e+000
-----------------------------------------------------------------------
.Cp-N.
 -3.8253762e-003  7.0999639e-002 -7.1188350e-001  5.5659465e+000
 -3.7080191e-003  6.9951728e-002 -6.9839656e-001  5.6688809e+000
  5.1649890e-004 -1.0097904e-002  8.4619208e-002 -1.2158433e-001
  0.0000000e+000  0.0000000e+000  0.0000000e+000  0.0000000e+000
-----------------------------------------------------------------------
.Cp-O.
 -1.1681606e-003  1.1241557e-002 -2.1450839e-001  4.1346034e+000
 -1.0835257e-003  1.0491696e-002 -2.0340970e-001  4.2341485e+000
  1.6685539e-004 -2.0040758e-003  1.8523581e-002  2.1899777e-002
 0.00000E+00    0.00000E+00    0.00000E+00    0.00000E+00
-----------------------------------------------------------------------
.Cp-CO.
 -9.2483178e-004  7.9277661e-003 -1.8810638e-001  4.2767500e+000
 -8.5451495e-004  7.3416901e-003 -1.7842750e-001  4.3749314e+000
  1.2972744e-004 -1.4759955e-003  1.4861530e-002  2.5072018e-002
 0.00000E+00    0.00000E+00    0.00000E+00    0.00000E+00
-----------------------------------------------------------------------
.Cp-CO2.
 -5.9934933e-004  3.9376655e-003 -1.5228037e-001  4.3450298e+000
 -5.5002811e-004  3.5629453e-003 -1.4462796e-001  4.4389686e+000
  8.0039906e-005 -8.1780065e-004  1.0081732e-002  2.6503443e-002
 0.00000E+00    0.00000E+00    0.00000E+00    0.00000E+00
-----------------------------------------------------------------------
.Cp-N2.
 -1.8370825e-003  3.0068528e-002 -3.7626653e-001  4.7949507e+000
 -1.7163073e-003  2.8297455e-002 -3.5650354e-001  4.8646460e+000
  2.5815544e-004 -4.8057298e-003  4.2624241e-002 -2.1970407e-002
  0.0000000e+000  0.0000000e+000  0.0000000e+000  0.0000000e+000
-----------------------------------------------------------------------
.Cp-NO.
 -1.8370825e-003  2.9904247e-002 -3.7447883e-001  4.7557890e+000
 -1.7163073e-003  2.8143973e-002 -3.5482111e-001  4.8260718e+000
  2.5815544e-004 -4.7826441e-003  4.2338426e-002 -2.0704107e-002
  0.0000000e+000  0.0000000e+000  0.0000000e+000  0.0000000e+000
-----------------------------------------------------------------------
.Cp-O2.
 -7.6706392e-004  5.9979969e-003 -1.7133012e-001  4.1488009e+000
 -7.0667389e-004  5.5109374e-003 -1.6258547e-001  4.2451115e+000
  1.0567811e-004 -1.1610529e-003  1.2620952e-002  2.5815917e-002
 0.00000E+00    0.00000E+00    0.00000E+00    0.00000E+00
-----------------------------------------------------------------------
.Np-Ar.
 -1.7334465e-003  2.8014804e-002 -3.5926396e-001  4.7291150e+000
 -1.6260728e-003  2.6557309e-002 -3.4228639e-001  4.8059155e+000
  2.7721728e-004 -5.4284725e-003  4.8617500e-002 -4.1906729e-002
  0.0000000e+000  0.0000000e+000  0.0000000e+000  0.0000000e+000
-----------------------------------------------------------------------
.Np-C.
 -3.1989750e-003  5.6906218e-002 -5.9350420e-001  5.2477005e+000
 -3.0604221e-003  5.5179744e-002 -5.7410416e-001  5.3306876e+000
